epoch,accuracy,loss,val_accuracy,val_loss
0,0.5933277010917664,1.2574964761734009,0.7271907925605774,0.802628219127655
1,0.6889484524726868,0.943695068359375,0.778745710849762,0.6505603790283203
2,0.7159961462020874,0.8628888130187988,0.7901929020881653,0.6050794720649719
3,0.7272297143936157,0.8274460434913635,0.7964051365852356,0.5850547552108765
4,0.7339468002319336,0.8060339093208313,0.801596999168396,0.5686209797859192
5,0.7383930087089539,0.7916104793548584,0.8058464527130127,0.5551657676696777
6,0.7414487600326538,0.7817661166191101,0.8063199520111084,0.5535446405410767
7,0.7438082098960876,0.7738456726074219,0.8075107336044312,0.5461098551750183
8,0.7457302212715149,0.7673217058181763,0.8101288676261902,0.5384472608566284
9,0.7472667694091797,0.7623077034950256,0.8115136623382568,0.5352306962013245
